model,region,auc_mean,auc_std,f1_mean,f1_std
gec,dmn,0.7873755269399552,0.021770973104286474,0.7022222222222222,0.08572134009771515
gec,dmn-hippo,0.7626537608388788,0.09271717289220939,0.6648325997065493,0.13447671779902765
gec,dmn-hippo-limbic,0.879584017515052,0.019528804351298633,0.7580055082829777,0.11412812038509762
gec,dmn-hippo-limbic-dan,0.7502160573848414,0.13263012493182055,0.6984432560903149,0.08178866440498694
gec,dmn-limbic,0.7617463198225449,0.04996086474778571,0.6834131975641409,0.12635516451848952
gec,hippo,0.719483094709955,0.09905835134572162,0.6696926713947992,0.06937103206817223
gec,wholebrain,0.7279501435581291,0.035188149081086306,0.6413223049169278,0.09963726533989073
gelstm,dmn,0.7856758755125361,0.10527032047303549,0.6826169861884148,0.06167534565776584
gelstm,dmn-hippo,0.835112205801861,0.0671459438374592,0.7420719531593732,0.10790166972393332
gelstm,dmn-hippo-limbic,0.7818948712778114,0.06636394454946727,0.6785456606885178,0.06986540803911158
gelstm,dmn-hippo-limbic-dan,0.8189679178789886,0.04428189636792273,0.7348822605965464,0.08332994595134435
gelstm,dmn-limbic,0.8174627180979268,0.06182491131318772,0.729296066252588,0.11150250518359321
gelstm,hippo,0.6765260853282631,0.043102432655805455,0.631859410430839,0.09322727391918795
gelstm,wholebrain,0.804086365338634,0.07020027983815483,0.7050425170068028,0.0712838198619294
logreg,dmn,0.7390122816620094,0.04634081278989624,0.6687571365832236,0.07849554843725666
logreg,dmn-hippo,0.7502040541967947,0.07615639396373435,0.6741106278577004,0.05959586216960106
logreg,dmn-hippo-limbic,0.7524222433478331,0.06702514153049718,0.6910722503451449,0.045756890900136744
logreg,dmn-hippo-limbic-dan,0.6871633105752887,0.08403793671583133,0.6202279202279203,0.08078769441806474
logreg,dmn-limbic,0.6955031256301675,0.016597263987524532,0.6342953342953342,0.08314447760898733
logreg,hippo,0.6603097782771105,0.12540448611369537,0.6329217795283543,0.04331260258541854
logreg,wholebrain,0.7668428734671929,0.09574431111667983,0.6591876208897486,0.05569021106678702
