model,region,t_months,auc_mean,auc_std
cox,dmn,24,0.5217934641103805,0.09992441021253987
cox,dmn,36,0.5883799763812325,0.04550715605132798
cox,dmn,60,0.6445964626571844,0.0694697574698257
cox,dmn-hippo,24,0.5424266116572144,0.21165735511653647
cox,dmn-hippo,36,0.5810006252635027,0.12797027747501524
cox,dmn-hippo,60,0.5444136409024334,0.08620840639877114
cox,dmn-hippo-limbic,24,0.5434671395595062,0.024815597301489724
cox,dmn-hippo-limbic,36,0.5557576381042195,0.07895676921703298
cox,dmn-hippo-limbic,60,0.5566077823769846,0.054779317357751746
cox,dmn-hippo-limbic-dan,24,0.5697093220141916,0.04938316030963506
cox,dmn-hippo-limbic-dan,36,0.5577141427257687,0.042814995759059206
cox,dmn-hippo-limbic-dan,60,0.6308862284510592,0.037348193224231246
cox,dmn-limbic,24,0.6288333098719039,0.12225027280974825
cox,dmn-limbic,36,0.6709281888206613,0.10684462247895127
cox,dmn-limbic,60,0.7291279912226196,0.11305386416366167
cox,hippo,24,0.5549343226548303,0.06503097009633593
cox,hippo,36,0.5247433054698382,0.08014794355383908
cox,hippo,60,0.6590938126202722,0.14370440036540613
cox,wholebrain,24,0.49145779325927447,0.1330870651497499
cox,wholebrain,36,0.5750196448712722,0.032321427467003117
cox,wholebrain,60,0.576579710802413,0.07588036908659938
lstm_surv,dmn,24,0.5785210711636845,0.06927674738589225
lstm_surv,dmn,36,0.613193095517885,0.01755776701144432
lstm_surv,dmn,60,0.6102779684800456,0.038641523674383456
lstm_surv,dmn-hippo,24,0.6131854293184656,0.197480371700167
lstm_surv,dmn-hippo,36,0.5680416028751432,0.054351787038819495
lstm_surv,dmn-hippo,60,0.5938960436768586,0.06728556525616021
lstm_surv,dmn-hippo-limbic,24,0.566397575195865,0.012618660142939983
lstm_surv,dmn-hippo-limbic,36,0.552664347927248,0.009751457618619442
lstm_surv,dmn-hippo-limbic,60,0.5212275713685709,0.08855191437343284
lstm_surv,dmn-hippo-limbic-dan,24,0.6061245815957262,0.04663912798366242
lstm_surv,dmn-hippo-limbic-dan,36,0.6073636498397318,0.01963286199155087
lstm_surv,dmn-hippo-limbic-dan,60,0.5897218907418847,0.14013067001729215
lstm_surv,dmn-limbic,24,0.6989847106676939,0.054243623391598474
lstm_surv,dmn-limbic,36,0.7104431020898986,0.04619980748501642
lstm_surv,dmn-limbic,60,0.5696639861469249,0.18541184775423838
lstm_surv,hippo,24,0.6266931673318341,0.11054574761821581
lstm_surv,hippo,36,0.5876021337103893,0.08553094393973953
lstm_surv,hippo,60,0.5980550727898897,0.026857159509390823
lstm_surv,wholebrain,24,0.49890665105031057,0.07205123998591358
lstm_surv,wholebrain,36,0.5371580994277385,0.0749473425242489
lstm_surv,wholebrain,60,0.5229383144620913,0.11141094041141189
rsf,dmn,24,0.6767078795078326,0.07088342875472885
rsf,dmn,36,0.6886832644400595,0.08396095983093933
rsf,dmn,60,0.6174574258959058,0.12910878593087383
rsf,dmn-hippo,24,0.6358574026273881,0.11641431332764393
rsf,dmn-hippo,36,0.6443633023890277,0.07496276192438356
rsf,dmn-hippo,60,0.5439600427194226,0.052131710158040745
rsf,dmn-hippo-limbic,24,0.6468828969972714,0.08873092678537266
rsf,dmn-hippo-limbic,36,0.6691050302403744,0.13194239003179897
rsf,dmn-hippo-limbic,60,0.5937411562590456,0.1893589289867046
rsf,dmn-hippo-limbic-dan,24,0.636628550820486,0.011667180888045229
rsf,dmn-hippo-limbic-dan,36,0.6572906011808596,0.051711304512482605
rsf,dmn-hippo-limbic-dan,60,0.6274067762321454,0.1678770788401528
rsf,dmn-limbic,24,0.6459951923340017,0.050864370116754265
rsf,dmn-limbic,36,0.6656132756929124,0.052389045397244746
rsf,dmn-limbic,60,0.5202839895843724,0.0677992134073792
rsf,hippo,24,0.645473165872557,0.11580012750308477
rsf,hippo,36,0.6356254744083221,0.10811094039122361
rsf,hippo,60,0.5793848799170639,0.15877248435949176
rsf,wholebrain,24,0.5907719598887403,0.09518593590896703
rsf,wholebrain,36,0.5888107466289781,0.010009940937274975
rsf,wholebrain,60,0.5207915861513474,0.2347510876213805
