Group,Method,NoiseLevel,MeanProbability,StdProbability,CorrectRate
converter,conditioning_noise,0.0,0.9408462738990784,0.0011029980588669463,1.0
converter,conditioning_noise,0.05,0.9351898634433746,0.027410914311615388,0.52
converter,conditioning_noise,0.1,0.8983936327695846,0.12130870228095784,0.48
converter,conditioning_noise,0.2,0.8647506348788738,0.22858789531431162,0.64
converter,conditioning_noise,0.3,0.7706634951662272,0.3203472602291459,0.54
converter,edge_perturbation,0.0,0.9408462929725647,0.0011030108368631135,1.0
converter,edge_perturbation,0.05,0.9394484448432923,0.024741364872039342,0.7
converter,edge_perturbation,0.1,0.9306418383121491,0.03920746548344243,0.54
converter,edge_perturbation,0.2,0.9089207065105438,0.09018983339246998,0.36
converter,edge_perturbation,0.3,0.8971941459178925,0.06240585787316684,0.24
converter,feature_noise,0.0,0.9408462810516357,0.0011030204318739107,1.0
converter,feature_noise,0.05,0.9414574921131134,0.005575271666096828,0.7
converter,feature_noise,0.1,0.9377770960330963,0.010155966508813128,0.56
converter,feature_noise,0.2,0.9363240003585815,0.02871381948689834,0.6
converter,feature_noise,0.3,0.9431714153289795,0.03526217274911376,0.7
converter,matrix_noise_rebuild,0.0,0.9650902533531189,0.024075100197773,0.8
converter,matrix_noise_rebuild,0.05,0.9618203103542328,0.03014255486936281,0.8
converter,matrix_noise_rebuild,0.1,0.9656745493412018,0.02591846576873162,0.86
converter,matrix_noise_rebuild,0.2,0.9634131097793579,0.04605515691535875,0.88
converter,matrix_noise_rebuild,0.3,0.9407339286804199,0.12239599993712938,0.84
non_converter,conditioning_noise,0.0,0.49815829247236254,0.36690416287230626,1.0
non_converter,conditioning_noise,0.05,0.4670481627807021,0.36089135096185954,0.96
non_converter,conditioning_noise,0.1,0.4655921856313944,0.3776304360277838,0.9
non_converter,conditioning_noise,0.2,0.36614180068136193,0.3888086986396787,0.94
non_converter,conditioning_noise,0.3,0.4097574083297513,0.4386134980726938,0.7
non_converter,edge_perturbation,0.0,0.4981582818925381,0.36690414926600967,1.0
non_converter,edge_perturbation,0.05,0.48570738069713115,0.3511386835867883,1.0
non_converter,edge_perturbation,0.1,0.47289787631481883,0.35753790292527216,0.94
non_converter,edge_perturbation,0.2,0.4521089770272374,0.35777587489960794,1.0
non_converter,edge_perturbation,0.3,0.37952912621200086,0.32446461714340014,0.92
non_converter,feature_noise,0.0,0.49815828472375867,0.3669041608374558,1.0
non_converter,feature_noise,0.05,0.4976480597257614,0.36647610029762423,1.0
non_converter,feature_noise,0.1,0.5053440733999014,0.3665168269393904,1.0
non_converter,feature_noise,0.2,0.49967643450945615,0.37583630995485934,0.98
non_converter,feature_noise,0.3,0.5079861270263791,0.3597882313749848,0.98
non_converter,matrix_noise_rebuild,0.0,0.5172817263752222,0.3439893849300973,1.0
non_converter,matrix_noise_rebuild,0.05,0.5339194029569626,0.3417411883361113,1.0
non_converter,matrix_noise_rebuild,0.1,0.5324769917875528,0.3359316396209392,1.0
non_converter,matrix_noise_rebuild,0.2,0.5415670430660248,0.3415286946896466,0.96
non_converter,matrix_noise_rebuild,0.3,0.5667821595072746,0.32049290824021814,0.96
